site,date,start_hour,value,variable,units,quality,prelim,name 
2373,2020-01-07,0,0.0269,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,1,0.0214,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,2,0.0242,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,4,0.0146,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,5,0.0196,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,6,0.0217,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,7,0.0234,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,8,0.0208,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,9,0.0258,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,10,0.0222,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,11,0.0151,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,12,0.0150,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,13,0.0083,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,14,0.0057,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,15,0.0059,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,16,0.0053,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,17,0.0065,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,18,0.0079,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,19,0.0060,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,20,0.0064,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,21,0.0063,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,22,0.0055,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-07,23,0.0037,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,0,0.0034,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,1,0.0042,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,2,0.0062,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,4,0.0249,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,5,0.0269,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,6,0.0324,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,7,0.0349,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,8,0.0227,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,9,0.0159,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,10,0.0131,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,11,0.0106,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,12,0.0068,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,13,0.0077,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,14,0.0064,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,15,0.0060,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,16,0.0092,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,17,0.0073,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,18,0.0089,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,19,0.0082,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,20,0.0058,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,21,0.0078,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,22,0.0057,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-08,23,0.0033,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,0,0.0037,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,1,0.0038,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,2,0.0026,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,4,0.0028,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,5,0.0047,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,6,0.0056,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,7,0.0081,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,8,0.0131,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,9,0.0107,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,10,0.0072,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,11,0.0079,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,12,0.0062,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,13,0.0057,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-09,14,0.0064,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
