,name,date,OZONE,Pre-Shelter in place mean,Post-Shelter in place mean
212,San Francisco-Arkansas Street,2020-03-01,0.03542608695652174,0.026242419703663568,
213,Vallejo-304 Tuolumne Street,2020-03-01,0.036373913043478256,0.026242419703663568,
214,San Rafael,2020-03-01,0.034317391304347834,0.026242419703663568,
215,Concord-2956-A Treat Blvd,2020-03-01,0.03472173913043479,0.026242419703663568,
216,Oakland-9925 International Blvd,2020-03-01,0.031573913043478265,0.026242419703663568,
217,Livermore-793 Rincon Avenue,2020-03-01,0.03758695652173913,0.026242419703663568,
218,San Jose-Jackson Street,2020-03-01,0.03377727272727272,0.026242419703663568,
219,San Pablo-Rumrill Blvd,2020-03-01,0.034213043478260874,0.026242419703663568,
220,Oakland-West,2020-03-01,0.03438260869565217,0.026242419703663568,
221,Sebastopol-103 Morris Street            ,2020-03-01,0.03267826086956522,0.026242419703663568,
222,Berkeley-Aquatic Park                   ,2020-03-01,0.03306956521739131,0.026242419703663568,
223,Napa-Valley College,2020-03-01,0.03417826086956522,0.026242419703663568,
224,Redwood City,2020-03-02,0.033015,0.026242419703663568,
225,Gilroy-9th Street,2020-03-02,0.020465217391304347,0.026242419703663568,
226,San Francisco-Arkansas Street,2020-03-02,0.03376086956521739,0.026242419703663568,
227,Vallejo-304 Tuolumne Street,2020-03-02,0.03513478260869566,0.026242419703663568,
228,San Rafael,2020-03-02,0.03529130434782609,0.026242419703663568,
229,Concord-2956-A Treat Blvd,2020-03-02,0.032122727272727275,0.026242419703663568,
230,Oakland-9925 International Blvd,2020-03-02,0.03151428571428571,0.026242419703663568,
231,Livermore-793 Rincon Avenue,2020-03-02,0.035591304347826085,0.026242419703663568,
232,San Jose-Jackson Street,2020-03-02,0.033600000000000005,0.026242419703663568,
233,San Pablo-Rumrill Blvd,2020-03-02,0.03814782608695653,0.026242419703663568,
234,Oakland-West,2020-03-02,0.035217391304347825,0.026242419703663568,
235,Sebastopol-103 Morris Street            ,2020-03-02,0.036034782608695644,0.026242419703663568,
236,Berkeley-Aquatic Park                   ,2020-03-02,0.03160526315789473,0.026242419703663568,
237,Napa-Valley College,2020-03-02,0.0377391304347826,0.026242419703663568,
238,Redwood City,2020-03-03,0.017,0.026242419703663568,
239,Gilroy-9th Street,2020-03-03,0.022,0.026242419703663568,
240,San Francisco-Arkansas Street,2020-03-03,0.016304761904761905,0.026242419703663568,
241,Vallejo-304 Tuolumne Street,2020-03-03,0.020209090909090906,0.026242419703663568,
242,San Rafael,2020-03-03,0.018221739130434785,0.026242419703663568,
243,Concord-2956-A Treat Blvd,2020-03-03,0.023513043478260866,0.026242419703663568,
244,Oakland-9925 International Blvd,2020-03-03,0.01634090909090909,0.026242419703663568,
245,Livermore-793 Rincon Avenue,2020-03-03,0.024045454545454547,0.026242419703663568,
246,San Jose-Jackson Street,2020-03-03,0.017931818181818184,0.026242419703663568,
247,San Pablo-Rumrill Blvd,2020-03-03,0.02252173913043478,0.026242419703663568,
248,Oakland-West,2020-03-03,0.01448695652173913,0.026242419703663568,
249,Sebastopol-103 Morris Street            ,2020-03-03,0.0222,0.026242419703663568,
250,Berkeley-Aquatic Park                   ,2020-03-03,0.015250000000000003,0.026242419703663568,
251,Napa-Valley College,2020-03-03,0.024659999999999998,0.026242419703663568,
252,Redwood City,2020-03-04,0.022290476190476187,0.026242419703663568,
253,Gilroy-9th Street,2020-03-04,0.024791304347826084,0.026242419703663568,
254,San Francisco-Arkansas Street,2020-03-04,0.023034782608695653,0.026242419703663568,
255,Vallejo-304 Tuolumne Street,2020-03-04,0.02807826086956521,0.026242419703663568,
256,San Rafael,2020-03-04,0.024339130434782606,0.026242419703663568,
257,Concord-2956-A Treat Blvd,2020-03-04,0.029930434782608692,0.026242419703663568,
258,Oakland-9925 International Blvd,2020-03-04,0.02007391304347826,0.026242419703663568,
259,Livermore-793 Rincon Avenue,2020-03-04,0.024239130434782607,0.026242419703663568,
260,San Jose-Jackson Street,2020-03-04,0.024240909090909094,0.026242419703663568,
261,San Pablo-Rumrill Blvd,2020-03-04,0.028043478260869562,0.026242419703663568,
262,Oakland-West,2020-03-04,0.019204347826086952,0.026242419703663568,
263,Sebastopol-103 Morris Street            ,2020-03-04,0.02123478260869565,0.026242419703663568,
264,Berkeley-Aquatic Park                   ,2020-03-04,0.020344444444444446,0.026242419703663568,
265,Napa-Valley College,2020-03-04,0.027843478260869563,0.026242419703663568,
266,Redwood City,2020-03-05,0.025543478260869567,0.026242419703663568,
267,Gilroy-9th Street,2020-03-05,0.025143478260869562,0.026242419703663568,
268,San Francisco-Arkansas Street,2020-03-05,0.03272272727272727,0.026242419703663568,
269,Vallejo-304 Tuolumne Street,2020-03-05,0.035495652173913046,0.026242419703663568,
270,San Rafael,2020-03-05,0.02725652173913043,0.026242419703663568,
271,Concord-2956-A Treat Blvd,2020-03-05,0.03293478260869565,0.026242419703663568,
272,Oakland-9925 International Blvd,2020-03-05,0.027718181818181822,0.026242419703663568,
273,Livermore-793 Rincon Avenue,2020-03-05,0.024840909090909094,0.026242419703663568,
274,San Jose-Jackson Street,2020-03-05,0.029513636363636356,0.026242419703663568,
275,San Pablo-Rumrill Blvd,2020-03-05,0.03668947368421052,0.026242419703663568,
276,Oakland-West,2020-03-05,0.030865217391304347,0.026242419703663568,
277,Sebastopol-103 Morris Street            ,2020-03-05,0.03853913043478261,0.026242419703663568,
278,Berkeley-Aquatic Park                   ,2020-03-05,0.02956521739130435,0.026242419703663568,
279,Napa-Valley College,2020-03-05,0.031691304347826084,0.026242419703663568,
280,Redwood City,2020-03-06,0.03374090909090909,0.026242419703663568,
281,Gilroy-9th Street,2020-03-06,0.031560869565217385,0.026242419703663568,
282,San Francisco-Arkansas Street,2020-03-06,0.03645909090909091,0.026242419703663568,
283,Vallejo-304 Tuolumne Street,2020-03-06,0.03772272727272727,0.026242419703663568,
284,San Rafael,2020-03-06,0.03412272727272727,0.026242419703663568,
285,Concord-2956-A Treat Blvd,2020-03-06,0.034660869565217384,0.026242419703663568,
286,Oakland-9925 International Blvd,2020-03-06,0.03352608695652175,0.026242419703663568,
287,Livermore-793 Rincon Avenue,2020-03-06,0.033447619047619045,0.026242419703663568,
288,San Jose-Jackson Street,2020-03-06,0.031413636363636366,0.026242419703663568,
289,San Pablo-Rumrill Blvd,2020-03-06,0.036343478260869574,0.026242419703663568,
290,Oakland-West,2020-03-06,0.03508636363636364,0.026242419703663568,
291,Sebastopol-103 Morris Street            ,2020-03-06,0.03513913043478261,0.026242419703663568,
292,Berkeley-Aquatic Park                   ,2020-03-06,0.030952941176470582,0.026242419703663568,
293,Napa-Valley College,2020-03-06,0.038139130434782606,0.026242419703663568,
294,Redwood City,2020-03-07,0.02997391304347826,0.026242419703663568,
295,Gilroy-9th Street,2020-03-07,0.031191304347826097,0.026242419703663568,
296,San Francisco-Arkansas Street,2020-03-07,0.03536086956521739,0.026242419703663568,
297,Vallejo-304 Tuolumne Street,2020-03-07,0.03502173913043478,0.026242419703663568,
298,San Rafael,2020-03-07,0.028778260869565225,0.026242419703663568,
299,Concord-2956-A Treat Blvd,2020-03-07,0.029904347826086954,0.026242419703663568,
