,name,date,NO2,Pre-Shelter in place mean,Post-Shelter in place mean
44,San Jose-Knox Avenue                    ,2020-02-03,0.017200000000000003,0.011839483989298653,
45,Berkeley-Aquatic Park                   ,2020-02-03,0.01263809523809524,0.011839483989298653,
46,Napa-Valley College,2020-02-03,0.007791304347826088,0.011839483989298653,
47,Pleasanton-Owens Ct                     ,2020-02-03,0.01417391304347826,0.011839483989298653,
48,Redwood City,2020-02-04,0.011152173913043479,0.011839483989298653,
49,San Francisco-Arkansas Street,2020-02-04,0.012865217391304345,0.011839483989298653,
50,Vallejo-304 Tuolumne Street,2020-02-04,0.012286956521739131,0.011839483989298653,
51,San Rafael,2020-02-04,0.01282608695652174,0.011839483989298653,
52,Concord-2956-A Treat Blvd,2020-02-04,0.014043478260869569,0.011839483989298653,
53,Oakland-9925 International Blvd,2020-02-04,0.01251304347826087,0.011839483989298653,
54,Livermore-793 Rincon Avenue,2020-02-04,0.007434782608695651,0.011839483989298653,
55,San Jose-Jackson Street,2020-02-04,0.017236842105263158,0.011839483989298653,
56,San Pablo-Rumrill Blvd,2020-02-04,0.007891304347826087,0.011839483989298653,
57,Oakland-West,2020-02-04,0.015330434782608697,0.011839483989298653,
58,Oakland-Laney College                   ,2020-02-04,0.015634782608695653,0.011839483989298653,
59,Sebastopol-103 Morris Street            ,2020-02-04,0.0069,0.011839483989298653,
60,San Jose-Knox Avenue                    ,2020-02-04,0.01635909090909091,0.011839483989298653,
61,Berkeley-Aquatic Park                   ,2020-02-04,0.018565217391304345,0.011839483989298653,
62,Napa-Valley College,2020-02-04,0.007066666666666668,0.011839483989298653,
63,Pleasanton-Owens Ct                     ,2020-02-04,0.020105555555555557,0.011839483989298653,
64,Redwood City,2020-02-05,0.021004347826086955,0.011839483989298653,
65,San Francisco-Arkansas Street,2020-02-05,0.02051739130434782,0.011839483989298653,
66,Vallejo-304 Tuolumne Street,2020-02-05,0.020647826086956523,0.011839483989298653,
67,San Rafael,2020-02-05,0.018599999999999995,0.011839483989298653,
68,Concord-2956-A Treat Blvd,2020-02-05,0.016356521739130436,0.011839483989298653,
69,Oakland-9925 International Blvd,2020-02-05,0.019273913043478256,0.011839483989298653,
70,Livermore-793 Rincon Avenue,2020-02-05,0.020813043478260868,0.011839483989298653,
71,San Jose-Jackson Street,2020-02-05,0.022359090909090915,0.011839483989298653,
72,San Pablo-Rumrill Blvd,2020-02-05,0.014143478260869561,0.011839483989298653,
73,Oakland-West,2020-02-05,0.028069565217391308,0.011839483989298653,
74,Oakland-Laney College                   ,2020-02-05,0.030208695652173923,0.011839483989298653,
75,Sebastopol-103 Morris Street            ,2020-02-05,0.008495652173913041,0.011839483989298653,
76,San Jose-Knox Avenue                    ,2020-02-05,0.026069565217391306,0.011839483989298653,
77,Berkeley-Aquatic Park                   ,2020-02-05,0.027628571428571426,0.011839483989298653,
78,Napa-Valley College,2020-02-05,0.011978260869565218,0.011839483989298653,
79,Pleasanton-Owens Ct                     ,2020-02-05,0.025239130434782608,0.011839483989298653,
80,Redwood City,2020-02-06,0.019956521739130432,0.011839483989298653,
81,San Francisco-Arkansas Street,2020-02-06,0.020139130434782607,0.011839483989298653,
82,Vallejo-304 Tuolumne Street,2020-02-06,0.01952608695652174,0.011839483989298653,
83,San Rafael,2020-02-06,0.016643478260869565,0.011839483989298653,
84,Concord-2956-A Treat Blvd,2020-02-06,0.01290869565217391,0.011839483989298653,
85,Oakland-9925 International Blvd,2020-02-06,0.02172173913043478,0.011839483989298653,
86,Livermore-793 Rincon Avenue,2020-02-06,0.017356521739130434,0.011839483989298653,
87,San Jose-Jackson Street,2020-02-06,0.02447777777777778,0.011839483989298653,
88,San Pablo-Rumrill Blvd,2020-02-06,0.014934782608695652,0.011839483989298653,
89,Oakland-West,2020-02-06,0.023395238095238097,0.011839483989298653,
90,Oakland-Laney College                   ,2020-02-06,0.027986956521739128,0.011839483989298653,
