,name,date,PM25HR,Pre-Shelter in place mean,Post-Shelter in place mean
190,Vallejo-304 Tuolumne Street,2020-02-12,13.125,7.653170861649276,
191,San Rafael,2020-02-12,7.125,7.653170861649276,
192,Concord-2956-A Treat Blvd,2020-02-12,6.458333333333333,7.653170861649276,
193,Oakland-9925 International Blvd,2020-02-12,10.041666666666666,7.653170861649276,
194,Livermore-793 Rincon Avenue,2020-02-12,5.833333333333333,7.653170861649276,
195,San Jose-Jackson Street,2020-02-12,6.75,7.653170861649276,
196,San Pablo-Rumrill Blvd,2020-02-12,8.916666666666666,7.653170861649276,
197,Oakland-West,2020-02-12,10.916666666666666,7.653170861649276,
198,Oakland-Laney College                   ,2020-02-12,10.625,7.653170861649276,
199,Sebastopol-103 Morris Street            ,2020-02-12,7.208333333333333,7.653170861649276,
200,San Jose-Knox Avenue                    ,2020-02-12,9.625,7.653170861649276,
201,Berkeley-Aquatic Park                   ,2020-02-12,13.0,7.653170861649276,
202,Napa-Valley College,2020-02-12,7.625,7.653170861649276,
203,Pleasanton-Owens Ct                     ,2020-02-12,7.375,7.653170861649276,
204,Redwood City,2020-02-13,8.583333333333334,7.653170861649276,
205,Gilroy-9th Street,2020-02-13,9.73913043478261,7.653170861649276,
206,San Francisco-Arkansas Street,2020-02-13,7.666666666666667,7.653170861649276,
207,Vallejo-304 Tuolumne Street,2020-02-13,7.833333333333333,7.653170861649276,
208,San Rafael,2020-02-13,6.958333333333333,7.653170861649276,
209,Concord-2956-A Treat Blvd,2020-02-13,8.434782608695652,7.653170861649276,
210,Oakland-9925 International Blvd,2020-02-13,8.5,7.653170861649276,
211,Livermore-793 Rincon Avenue,2020-02-13,8.541666666666666,7.653170861649276,
212,San Jose-Jackson Street,2020-02-13,7.875,7.653170861649276,
213,San Pablo-Rumrill Blvd,2020-02-13,10.583333333333334,7.653170861649276,
214,Oakland-West,2020-02-13,5.625,7.653170861649276,
215,Oakland-Laney College                   ,2020-02-13,7.304347826086956,7.653170861649276,
216,Sebastopol-103 Morris Street            ,2020-02-13,5.75,7.653170861649276,
217,San Jose-Knox Avenue                    ,2020-02-13,8.875,7.653170861649276,
218,Berkeley-Aquatic Park                   ,2020-02-13,9.272727272727273,7.653170861649276,
219,Napa-Valley College,2020-02-13,6.583333333333333,7.653170861649276,
220,Pleasanton-Owens Ct                     ,2020-02-13,9.458333333333334,7.653170861649276,
221,Redwood City,2020-02-14,8.666666666666666,7.653170861649276,
222,Gilroy-9th Street,2020-02-14,12.958333333333334,7.653170861649276,
223,San Francisco-Arkansas Street,2020-02-14,8.458333333333334,7.653170861649276,
224,Vallejo-304 Tuolumne Street,2020-02-14,10.541666666666666,7.653170861649276,
225,San Rafael,2020-02-14,8.375,7.653170861649276,
226,Concord-2956-A Treat Blvd,2020-02-14,9.666666666666666,7.653170861649276,
227,Oakland-9925 International Blvd,2020-02-14,9.130434782608695,7.653170861649276,
228,Livermore-793 Rincon Avenue,2020-02-14,8.0,7.653170861649276,
229,San Jose-Jackson Street,2020-02-14,10.583333333333334,7.653170861649276,
230,San Pablo-Rumrill Blvd,2020-02-14,9.583333333333334,7.653170861649276,
231,Oakland-West,2020-02-14,7.208333333333333,7.653170861649276,
232,Oakland-Laney College                   ,2020-02-14,7.416666666666667,7.653170861649276,
233,Sebastopol-103 Morris Street            ,2020-02-14,7.875,7.653170861649276,
234,San Jose-Knox Avenue                    ,2020-02-14,11.333333333333334,7.653170861649276,
235,Berkeley-Aquatic Park                   ,2020-02-14,10.166666666666666,7.653170861649276,
236,Napa-Valley College,2020-02-14,11.125,7.653170861649276,
237,Pleasanton-Owens Ct                     ,2020-02-14,9.875,7.653170861649276,
238,Redwood City,2020-02-15,10.375,7.653170861649276,
239,Gilroy-9th Street,2020-02-15,10.416666666666666,7.653170861649276,
240,San Francisco-Arkansas Street,2020-02-15,9.041666666666666,7.653170861649276,
241,Vallejo-304 Tuolumne Street,2020-02-15,14.041666666666666,7.653170861649276,
242,San Rafael,2020-02-15,10.041666666666666,7.653170861649276,
243,Concord-2956-A Treat Blvd,2020-02-15,12.208333333333334,7.653170861649276,
244,Oakland-9925 International Blvd,2020-02-15,11.833333333333334,7.653170861649276,
245,Livermore-793 Rincon Avenue,2020-02-15,10.375,7.653170861649276,
246,San Jose-Jackson Street,2020-02-15,11.958333333333334,7.653170861649276,
247,San Pablo-Rumrill Blvd,2020-02-15,13.166666666666666,7.653170861649276,
248,Oakland-West,2020-02-15,10.958333333333334,7.653170861649276,
249,Oakland-Laney College                   ,2020-02-15,12.125,7.653170861649276,
250,Sebastopol-103 Morris Street            ,2020-02-15,9.916666666666666,7.653170861649276,
251,San Jose-Knox Avenue                    ,2020-02-15,13.041666666666666,7.653170861649276,
252,Berkeley-Aquatic Park                   ,2020-02-15,13.869565217391305,7.653170861649276,
253,Napa-Valley College,2020-02-15,11.125,7.653170861649276,
254,Pleasanton-Owens Ct                     ,2020-02-15,11.333333333333334,7.653170861649276,
255,Redwood City,2020-02-16,5.25,7.653170861649276,
256,Gilroy-9th Street,2020-02-16,8.26086956521739,7.653170861649276,
257,San Francisco-Arkansas Street,2020-02-16,6.583333333333333,7.653170861649276,
258,Vallejo-304 Tuolumne Street,2020-02-16,6.458333333333333,7.653170861649276,
259,San Rafael,2020-02-16,6.5,7.653170861649276,
260,Concord-2956-A Treat Blvd,2020-02-16,6.833333333333333,7.653170861649276,
261,Oakland-9925 International Blvd,2020-02-16,7.625,7.653170861649276,
263,San Jose-Jackson Street,2020-02-16,6.666666666666667,7.653170861649276,
264,San Pablo-Rumrill Blvd,2020-02-16,7.125,7.653170861649276,
265,Oakland-West,2020-02-16,4.833333333333333,7.653170861649276,
266,Oakland-Laney College                   ,2020-02-16,7.291666666666667,7.653170861649276,
267,Sebastopol-103 Morris Street            ,2020-02-16,5.75,7.653170861649276,
268,San Jose-Knox Avenue                    ,2020-02-16,9.0,7.653170861649276,
269,Berkeley-Aquatic Park                   ,2020-02-16,8.125,7.653170861649276,
270,Napa-Valley College,2020-02-16,6.666666666666667,7.653170861649276,
271,Pleasanton-Owens Ct                     ,2020-02-16,7.916666666666667,7.653170861649276,
272,Redwood City,2020-02-17,6.083333333333333,7.653170861649276,
273,Gilroy-9th Street,2020-02-17,6.333333333333333,7.653170861649276,
274,San Francisco-Arkansas Street,2020-02-17,9.375,7.653170861649276,
275,Vallejo-304 Tuolumne Street,2020-02-17,8.791666666666666,7.653170861649276,
276,San Rafael,2020-02-17,4.875,7.653170861649276,
277,Concord-2956-A Treat Blvd,2020-02-17,7.583333333333333,7.653170861649276,
278,Oakland-9925 International Blvd,2020-02-17,7.916666666666667,7.653170861649276,
280,San Jose-Jackson Street,2020-02-17,7.291666666666667,7.653170861649276,
281,San Pablo-Rumrill Blvd,2020-02-17,5.041666666666667,7.653170861649276,
282,Oakland-West,2020-02-17,8.0,7.653170861649276,
283,Oakland-Laney College                   ,2020-02-17,5.75,7.653170861649276,
284,Sebastopol-103 Morris Street            ,2020-02-17,4.458333333333333,7.653170861649276,
285,San Jose-Knox Avenue                    ,2020-02-17,8.125,7.653170861649276,
286,Berkeley-Aquatic Park                   ,2020-02-17,8.208333333333334,7.653170861649276,
287,Napa-Valley College,2020-02-17,5.625,7.653170861649276,
288,Pleasanton-Owens Ct                     ,2020-02-17,5.791666666666667,7.653170861649276,
289,Redwood City,2020-02-18,7.947368421052632,7.653170861649276,
290,Gilroy-9th Street,2020-02-18,6.318181818181818,7.653170861649276,
291,San Francisco-Arkansas Street,2020-02-18,8.166666666666666,7.653170861649276,
292,Vallejo-304 Tuolumne Street,2020-02-18,7.916666666666667,7.653170861649276,
293,San Rafael,2020-02-18,6.208333333333333,7.653170861649276,
294,Concord-2956-A Treat Blvd,2020-02-18,6.166666666666667,7.653170861649276,
295,Oakland-9925 International Blvd,2020-02-18,6.043478260869565,7.653170861649276,
296,Livermore-793 Rincon Avenue,2020-02-18,3.9375,7.653170861649276,
297,San Jose-Jackson Street,2020-02-18,8.75,7.653170861649276,
298,San Pablo-Rumrill Blvd,2020-02-18,6.5,7.653170861649276,
299,Oakland-West,2020-02-18,9.91304347826087,7.653170861649276,
300,Oakland-Laney College                   ,2020-02-18,7.75,7.653170861649276,
301,Sebastopol-103 Morris Street            ,2020-02-18,7.541666666666667,7.653170861649276,
302,San Jose-Knox Avenue                    ,2020-02-18,8.409090909090908,7.653170861649276,
303,Berkeley-Aquatic Park                   ,2020-02-18,11.458333333333334,7.653170861649276,
304,Napa-Valley College,2020-02-18,6.739130434782608,7.653170861649276,
305,Pleasanton-Owens Ct                     ,2020-02-18,5.521739130434782,7.653170861649276,
306,Redwood City,2020-02-19,11.0,7.653170861649276,
307,Gilroy-9th Street,2020-02-19,6.833333333333333,7.653170861649276,
308,San Francisco-Arkansas Street,2020-02-19,9.416666666666666,7.653170861649276,
309,Vallejo-304 Tuolumne Street,2020-02-19,11.208333333333334,7.653170861649276,
310,San Rafael,2020-02-19,6.708333333333333,7.653170861649276,
311,Concord-2956-A Treat Blvd,2020-02-19,8.333333333333334,7.653170861649276,
312,Oakland-9925 International Blvd,2020-02-19,10.916666666666666,7.653170861649276,
313,Livermore-793 Rincon Avenue,2020-02-19,7.166666666666667,7.653170861649276,
314,San Jose-Jackson Street,2020-02-19,11.217391304347826,7.653170861649276,
315,San Pablo-Rumrill Blvd,2020-02-19,9.695652173913043,7.653170861649276,
316,Oakland-West,2020-02-19,9.75,7.653170861649276,
317,Oakland-Laney College                   ,2020-02-19,9.666666666666666,7.653170861649276,
318,Sebastopol-103 Morris Street            ,2020-02-19,7.5,7.653170861649276,
319,San Jose-Knox Avenue                    ,2020-02-19,12.375,7.653170861649276,
320,Berkeley-Aquatic Park                   ,2020-02-19,11.826086956521738,7.653170861649276,
321,Napa-Valley College,2020-02-19,8.416666666666666,7.653170861649276,
322,Pleasanton-Owens Ct                     ,2020-02-19,7.125,7.653170861649276,
323,Redwood City,2020-02-20,12.125,7.653170861649276,
324,Gilroy-9th Street,2020-02-20,7.375,7.653170861649276,
325,San Francisco-Arkansas Street,2020-02-20,13.782608695652174,7.653170861649276,
326,Vallejo-304 Tuolumne Street,2020-02-20,12.347826086956522,7.653170861649276,
327,San Rafael,2020-02-20,8.958333333333334,7.653170861649276,
328,Concord-2956-A Treat Blvd,2020-02-20,11.956521739130435,7.653170861649276,
329,Oakland-9925 International Blvd,2020-02-20,11.791666666666666,7.653170861649276,
330,Livermore-793 Rincon Avenue,2020-02-20,11.478260869565217,7.653170861649276,
331,San Jose-Jackson Street,2020-02-20,14.125,7.653170861649276,
332,San Pablo-Rumrill Blvd,2020-02-20,12.043478260869565,7.653170861649276,
333,Oakland-West,2020-02-20,10.75,7.653170861649276,
334,Oakland-Laney College                   ,2020-02-20,11.956521739130435,7.653170861649276,
335,Sebastopol-103 Morris Street            ,2020-02-20,10.26086956521739,7.653170861649276,
336,San Jose-Knox Avenue                    ,2020-02-20,14.5,7.653170861649276,
337,Berkeley-Aquatic Park                   ,2020-02-20,13.833333333333334,7.653170861649276,
338,Napa-Valley College,2020-02-20,10.75,7.653170861649276,
339,Pleasanton-Owens Ct                     ,2020-02-20,13.583333333333334,7.653170861649276,
340,Redwood City,2020-02-21,12.166666666666666,7.653170861649276,
341,Gilroy-9th Street,2020-02-21,9.952380952380953,7.653170861649276,
342,San Francisco-Arkansas Street,2020-02-21,12.458333333333334,7.653170861649276,
343,Vallejo-304 Tuolumne Street,2020-02-21,14.916666666666666,7.653170861649276,
344,San Rafael,2020-02-21,9.26086956521739,7.653170861649276,
345,Concord-2956-A Treat Blvd,2020-02-21,10.130434782608695,7.653170861649276,
346,Oakland-9925 International Blvd,2020-02-21,10.958333333333334,7.653170861649276,
347,Livermore-793 Rincon Avenue,2020-02-21,8.434782608695652,7.653170861649276,
348,San Jose-Jackson Street,2020-02-21,18.708333333333332,7.653170861649276,
349,San Pablo-Rumrill Blvd,2020-02-21,11.478260869565217,7.653170861649276,
