,name,date,NOX,Pre-Shelter in place mean,Post-Shelter in place mean
289,San Francisco-Arkansas Street,2020-02-19,0.01894347826086957,0.01818764397517645,
290,Vallejo-304 Tuolumne Street,2020-02-19,0.03363478260869565,0.01818764397517645,
291,San Rafael,2020-02-19,0.01826521739130435,0.01818764397517645,
292,Concord-2956-A Treat Blvd,2020-02-19,0.01337391304347826,0.01818764397517645,
293,Oakland-9925 International Blvd,2020-02-19,0.026791304347826086,0.01818764397517645,
294,Livermore-793 Rincon Avenue,2020-02-19,0.03170434782608696,0.01818764397517645,
295,San Jose-Jackson Street,2020-02-19,0.03316818181818182,0.01818764397517645,
296,San Pablo-Rumrill Blvd,2020-02-19,0.019170000000000006,0.01818764397517645,
297,Oakland-West,2020-02-19,0.029239130434782597,0.01818764397517645,
298,Oakland-Laney College                   ,2020-02-19,0.0341695652173913,0.01818764397517645,
299,Sebastopol-103 Morris Street            ,2020-02-19,0.008686956521739132,0.01818764397517645,
300,San Jose-Knox Avenue                    ,2020-02-19,0.04074347826086956,0.01818764397517645,
301,Berkeley-Aquatic Park                   ,2020-02-19,0.03631904761904761,0.01818764397517645,
302,Napa-Valley College,2020-02-19,0.015334999999999998,0.01818764397517645,
303,Pleasanton-Owens Ct                     ,2020-02-19,0.04218695652173913,0.01818764397517645,
304,Redwood City,2020-02-20,0.03105217391304348,0.01818764397517645,
305,San Francisco-Arkansas Street,2020-02-20,0.033426086956521744,0.01818764397517645,
306,Vallejo-304 Tuolumne Street,2020-02-20,0.02755217391304348,0.01818764397517645,
307,San Rafael,2020-02-20,0.021634782608695655,0.01818764397517645,
308,Concord-2956-A Treat Blvd,2020-02-20,0.015886363636363632,0.01818764397517645,
309,Oakland-9925 International Blvd,2020-02-20,0.02457391304347826,0.01818764397517645,
310,Livermore-793 Rincon Avenue,2020-02-20,0.027743478260869557,0.01818764397517645,
311,San Jose-Jackson Street,2020-02-20,0.03580454545454545,0.01818764397517645,
312,San Pablo-Rumrill Blvd,2020-02-20,0.015765217391304345,0.01818764397517645,
313,Oakland-West,2020-02-20,0.032504347826086966,0.01818764397517645,
