,name,date,BC,Pre-Shelter in place mean,Post-Shelter in place mean
54,Berkeley-Aquatic Park                   ,2020-02-25,1.1472041666666666,0.6571340706705748,
55,Livermore-793 Rincon Avenue,2020-02-26,0.9105652173913042,0.6571340706705748,
56,Oakland-West,2020-02-26,1.1081875000000003,0.6571340706705748,
57,Oakland-Laney College                   ,2020-02-26,1.4059083333333335,0.6571340706705748,
58,San Jose-Knox Avenue                    ,2020-02-26,1.0547666666666669,0.6571340706705748,
59,Berkeley-Aquatic Park                   ,2020-02-26,1.1706541666666668,0.6571340706705748,
60,Livermore-793 Rincon Avenue,2020-02-27,1.1106291666666663,0.6571340706705748,
61,Oakland-West,2020-02-27,1.0552374999999998,0.6571340706705748,
62,Oakland-Laney College                   ,2020-02-27,1.6906875000000001,0.6571340706705748,
63,San Jose-Knox Avenue                    ,2020-02-27,1.4300916666666665,0.6571340706705748,
64,Berkeley-Aquatic Park                   ,2020-02-27,1.3276500000000002,0.6571340706705748,
65,Livermore-793 Rincon Avenue,2020-02-28,0.9242458333333335,0.6571340706705748,
66,Oakland-West,2020-02-28,0.8250708333333333,0.6571340706705748,
67,Oakland-Laney College                   ,2020-02-28,1.287304166666667,0.6571340706705748,
68,San Jose-Knox Avenue                    ,2020-02-28,1.1956708333333332,0.6571340706705748,
69,Berkeley-Aquatic Park                   ,2020-02-28,1.1496499999999998,0.6571340706705748,
70,Livermore-793 Rincon Avenue,2020-02-29,0.1444125,0.6571340706705748,
71,Oakland-West,2020-02-29,0.17957083333333335,0.6571340706705748,
72,Oakland-Laney College                   ,2020-02-29,0.4215666666666666,0.6571340706705748,
73,San Jose-Knox Avenue                    ,2020-02-29,0.32227083333333334,0.6571340706705748,
74,Berkeley-Aquatic Park                   ,2020-02-29,0.33532083333333335,0.6571340706705748,
75,Livermore-793 Rincon Avenue,2020-03-01,0.155025,0.6571340706705748,
76,Oakland-West,2020-03-01,0.10354583333333332,0.6571340706705748,
77,Oakland-Laney College                   ,2020-03-01,0.32322916666666673,0.6571340706705748,
78,San Jose-Knox Avenue                    ,2020-03-01,0.24965833333333334,0.6571340706705748,
79,Berkeley-Aquatic Park                   ,2020-03-01,0.1875666666666667,0.6571340706705748,
80,Livermore-793 Rincon Avenue,2020-03-02,0.11895,0.6571340706705748,
81,Oakland-West,2020-03-02,0.1683625,0.6571340706705748,
82,Oakland-Laney College                   ,2020-03-02,0.326704347826087,0.6571340706705748,
83,San Jose-Knox Avenue                    ,2020-03-02,0.33322499999999994,0.6571340706705748,
84,Berkeley-Aquatic Park                   ,2020-03-02,0.3687750000000001,0.6571340706705748,
85,Livermore-793 Rincon Avenue,2020-03-03,0.3907086956521739,0.6571340706705748,
86,Oakland-West,2020-03-03,0.717075,0.6571340706705748,
87,Oakland-Laney College                   ,2020-03-03,1.3815791666666666,0.6571340706705748,
88,San Jose-Knox Avenue                    ,2020-03-03,0.9275708333333331,0.6571340706705748,
89,Berkeley-Aquatic Park                   ,2020-03-03,0.8289708333333335,0.6571340706705748,
90,Livermore-793 Rincon Avenue,2020-03-04,0.8950833333333331,0.6571340706705748,
91,Oakland-West,2020-03-04,0.6604166666666668,0.6571340706705748,
92,Oakland-Laney College                   ,2020-03-04,1.2759375,0.6571340706705748,
93,San Jose-Knox Avenue                    ,2020-03-04,0.9192041666666665,0.6571340706705748,
94,Berkeley-Aquatic Park                   ,2020-03-04,0.7628541666666667,0.6571340706705748,
95,Livermore-793 Rincon Avenue,2020-03-05,0.6348000000000001,0.6571340706705748,
96,Oakland-West,2020-03-05,0.30195833333333333,0.6571340706705748,
97,Oakland-Laney College                   ,2020-03-05,0.7302874999999999,0.6571340706705748,
