,geometry,lat,long,date,BC,date_int
43,"POLYGON ((-122.04 37.65999999999998, -121.96 37.65999999999998, -121.96 37.73999999999998, -122.04 37.73999999999998, -122.04 37.65999999999998))",37.69999999999998,-122.00000000000003,2020-03-01,0.23771853006089694,29
44,"POLYGON ((-121.99 37.65999999999998, -121.91 37.65999999999998, -121.91 37.73999999999998, -121.99 37.73999999999998, -121.99 37.65999999999998))",37.69999999999998,-121.95000000000003,2020-03-01,0.21798904441672592,29
45,"POLYGON ((-121.94 37.65999999999998, -121.86 37.65999999999998, -121.86 37.73999999999998, -121.94 37.73999999999998, -121.94 37.65999999999998))",37.69999999999998,-121.90000000000003,2020-03-01,0.19825955877255486,29
46,"POLYGON ((-121.89 37.65999999999998, -121.81 37.65999999999998, -121.81 37.73999999999998, -121.89 37.73999999999998, -121.89 37.65999999999998))",37.69999999999998,-121.85000000000004,2020-03-01,0.17853007312838381,29
47,"POLYGON ((-121.84 37.65999999999998, -121.76 37.65999999999998, -121.76 37.73999999999998, -121.84 37.73999999999998, -121.84 37.65999999999998))",37.69999999999998,-121.80000000000004,2020-03-01,,29
48,"POLYGON ((-122.39 37.60999999999999, -122.31 37.60999999999999, -122.31 37.68999999999998, -122.39 37.68999999999998, -122.39 37.60999999999999))",37.649999999999984,-122.35000000000001,2020-03-01,,29
49,"POLYGON ((-122.34 37.60999999999999, -122.26 37.60999999999999, -122.26 37.68999999999998, -122.34 37.68999999999998, -122.34 37.60999999999999))",37.649999999999984,-122.30000000000001,2020-03-01,,29
50,"POLYGON ((-122.29 37.60999999999999, -122.21 37.60999999999999, -122.21 37.68999999999998, -122.29 37.68999999999998, -122.29 37.60999999999999))",37.649999999999984,-122.25000000000001,2020-03-01,,29
51,"POLYGON ((-122.24 37.60999999999999, -122.16 37.60999999999999, -122.16 37.68999999999998, -122.24 37.68999999999998, -122.24 37.60999999999999))",37.649999999999984,-122.20000000000002,2020-03-01,,29
52,"POLYGON ((-122.19 37.60999999999999, -122.11 37.60999999999999, -122.11 37.68999999999998, -122.19 37.68999999999998, -122.19 37.60999999999999))",37.649999999999984,-122.15000000000002,2020-03-01,,29
53,"POLYGON ((-122.14 37.60999999999999, -122.06 37.60999999999999, -122.06 37.68999999999998, -122.14 37.68999999999998, -122.14 37.60999999999999))",37.649999999999984,-122.10000000000002,2020-03-01,0.28701322126670087,29
54,"POLYGON ((-122.09 37.60999999999999, -122.01 37.60999999999999, -122.01 37.68999999999998, -122.09 37.68999999999998, -122.09 37.60999999999999))",37.649999999999984,-122.05000000000003,2020-03-01,0.2672837356225298,29
55,"POLYGON ((-122.04 37.60999999999999, -121.96 37.60999999999999, -121.96 37.68999999999998, -122.04 37.68999999999998, -122.04 37.60999999999999))",37.649999999999984,-122.00000000000003,2020-03-01,0.24755424997835876,29
56,"POLYGON ((-121.99 37.60999999999999, -121.91 37.60999999999999, -121.91 37.68999999999998, -121.99 37.68999999999998, -121.99 37.60999999999999))",37.649999999999984,-121.95000000000003,2020-03-01,0.22782476433418772,29
57,"POLYGON ((-121.94 37.60999999999999, -121.86 37.60999999999999, -121.86 37.68999999999998, -121.94 37.68999999999998, -121.94 37.60999999999999))",37.649999999999984,-121.90000000000003,2020-03-01,0.20809527869001665,29
58,"POLYGON ((-121.89 37.60999999999999, -121.81 37.60999999999999, -121.81 37.68999999999998, -121.89 37.68999999999998, -121.89 37.60999999999999))",37.649999999999984,-121.85000000000004,2020-03-01,0.1883657930458456,29
59,"POLYGON ((-121.84 37.60999999999999, -121.76 37.60999999999999, -121.76 37.68999999999998, -121.84 37.68999999999998, -121.84 37.60999999999999))",37.649999999999984,-121.80000000000004,2020-03-01,0.16863630740167454,29
60,"POLYGON ((-122.39 37.55999999999999, -122.31 37.55999999999999, -122.31 37.63999999999999, -122.39 37.63999999999999, -122.39 37.55999999999999))",37.59999999999999,-122.35000000000001,2020-03-01,,29
61,"POLYGON ((-122.34 37.55999999999999, -122.26 37.55999999999999, -122.26 37.63999999999999, -122.34 37.63999999999999, -122.34 37.55999999999999))",37.59999999999999,-122.30000000000001,2020-03-01,,29
62,"POLYGON ((-122.29 37.55999999999999, -122.21 37.55999999999999, -122.21 37.63999999999999, -122.29 37.63999999999999, -122.29 37.55999999999999))",37.59999999999999,-122.25000000000001,2020-03-01,,29
63,"POLYGON ((-122.24 37.55999999999999, -122.16 37.55999999999999, -122.16 37.63999999999999, -122.24 37.63999999999999, -122.24 37.55999999999999))",37.59999999999999,-122.20000000000002,2020-03-01,,29
